"spkid","a","e","i","om","w","ma"
54181753,5.636,0.7444,11.57,27.92,277.65,192.44
3694766,13.86,0.7099,170.97,52.68,6.87,1.68
3775190,23.4,0.3831,21.31,18.86,82.04,357.65
3790101,28.15,0.4411,12.22,17.04,304.46,52.04
54181751,9.585,0.7564,7.36,245.80,175.57,73.96
54198954,26.58,0.4242,35.72,158.18,104.90,125.97
3826713,27.61,0.2634,32.73,181.74,242.57,9.06
3697562,5.821,0.6251,31.81,211.95,206.37,350.79
3699884,9.258,0.5978,22.64,45.16,19.11,126.65
3755428,28.4,0.5334,9.52,172.98,262.78,24.99
54055152,8.542,0.5898,4.10,136.97,8.12,143.12
54181800,6.979,0.7831,9.45,127.08,288.51,131.42
54181820,5.743,0.6547,13.21,172.07,301.93,164.93
54428053,13.06,0.6574,6.93,117.98,24.59,69.95
3703676,21.82,0.8333,140.01,151.74,48.51,32.72
3802477,5.977,0.6035,10.69,22.99,41.45,250.69
3713514,5.506,0.5135,11.33,2.14,140.76,268.77
3707695,7.731,0.6712,94.50,287.48,252.81,343.66
54181952,9.352,0.8080,0.34,178.63,240.77,87.05
54181928,7.693,0.7476,18.05,300.57,117.96,118.40
3709465,12.11,0.6245,4.75,225.67,250.50,85.92
3755427,27.75,0.0878,10.95,256.08,259.63,30.00
3755463,14.13,0.5503,6.99,242.77,238.34,65.00
3779512,6.855,0.3057,9.17,268.86,306.25,157.00
54181975,16.73,0.8774,8.35,262.15,163.67,37.35
54049821,23.51,0.1678,5.61,46.48,233.92,273.98
3712456,8.184,0.4212,21.75,117.34,94.42,127.27
3825797,21.42,0.3564,22.17,194.67,241.23,33.86
3825793,25.04,0.2720,41.91,175.05,338.56,359.76
54393992,16.65,0.5773,17.63,320.23,205.38,43.68
54458602,6.681,0.3874,12.89,205.92,318.63,193.29
3755411,9.406,0.3124,5.17,194.31,331.17,145.48
54515905,5.507,0.1317,11.03,180.05,2.20,263.31
54515878,6.454,0.3281,4.69,179.53,1.00,211.40
54515888,7.605,0.3485,6.09,353.84,185.48,162.24
54182177,6.805,0.7755,5.31,82.92,152.76,121.94
3827112,12.03,0.0842,24.12,201.40,266.91,166.70
3827111,22.17,0.2610,11.42,191.15,255.44,121.33
3827105,20.98,0.4203,1.63,106.65,147.91,15.96
3836184,11.55,0.3719,7.42,24.18,307.76,275.35
54393990,16.81,0.4665,14.68,323.12,262.14,21.21
3717063,16.11,0.3381,31.59,221.05,359.33,44.47
3719127,5.63,0.5784,8.88,69.49,167.61,253.39
54439926,6.15,0.3480,10.28,201.16,26.33,350.66
54439931,5.788,0.2144,5.86,36.91,180.32,353.33
54455940,5.842,0.1575,5.78,20.32,206.51,348.74
54462768,6.556,0.3905,4.59,353.49,255.36,337.70
54463362,6.432,0.3456,3.59,233.75,21.53,328.40
54463376,5.826,0.2028,14.42,6.22,240.70,323.73
54463087,6.126,0.4360,51.02,18.18,66.55,67.39
54463159,6.034,0.2265,5.53,196.75,26.24,349.28
54463108,6.29,0.2638,5.97,22.07,203.83,349.53
54463136,5.636,0.1416,2.03,315.14,285.16,334.90
54463358,5.663,0.1763,9.06,188.02,41.22,346.02
54463282,5.926,0.2623,4.92,205.46,0.27,1.49
54469180,5.767,0.1765,2.66,302.97,289.51,338.65
54469739,5.946,0.2218,3.87,254.18,7.21,317.20
54469776,7.083,0.4034,5.04,17.37,236.71,336.05
54508193,5.503,0.1158,6.00,45.57,149.33,8.77
54508199,5.687,0.1365,10.27,346.51,268.22,317.13
54508245,5.64,0.2149,4.08,325.44,283.70,325.09
54508134,5.925,0.1446,5.93,351.50,222.53,350.67
54508167,5.568,0.1454,2.44,312.45,282.17,336.61
54508837,5.548,0.1296,6.90,46.51,175.38,347.56
54508839,5.524,0.0854,3.57,174.85,32.10,359.45
54508843,5.624,0.1475,10.30,32.67,217.66,323.57
54508845,5.642,0.1274,4.41,64.90,153.52,353.10
54508849,5.588,0.1309,6.26,230.15,318.32,14.75
54508792,5.655,0.1345,5.48,12.17,172.37,17.99
54508836,5.532,0.1211,7.27,322.23,252.99,352.48
54508840,5.536,0.0860,6.03,308.91,265.52,351.86
54508846,5.544,0.0734,18.13,236.58,38.02,297.58
54508831,5.745,0.1523,6.45,245.46,263.64,43.74
3719187,12.29,0.7064,35.34,205.13,70.43,73.19
54182211,5.812,0.6648,14.05,202.93,106.88,142.10
3721165,6.374,0.5756,17.89,120.88,150.65,205.38
3720768,5.861,0.4539,73.57,78.11,116.51,5.62
54507237,28.85,0.6005,13.61,136.53,24.94,14.01
3827106,17.15,0.6824,9.07,106.99,200.33,35.55
3827104,10.93,0.4728,11.40,80.57,52.73,138.66
54463520,6.233,0.4694,20.33,232.89,29.48,350.61
54463557,8.055,0.5251,16.70,56.98,245.04,338.98
54469188,5.718,0.1782,5.24,76.34,232.19,304.44
54460379,6.185,0.7596,16.18,76.37,39.55,241.97
54464954,7.475,0.2362,24.69,0.47,253.21,336.96
3842886,5.734,0.5222,10.59,232.55,83.44,249.63
54390874,10.37,0.8566,5.64,139.20,243.99,356.23
3728965,5.721,0.3851,16.20,332.40,21.73,224.26
3726676,20.82,0.6676,18.50,97.36,231.79,35.67
54391129,7.017,0.8101,6.58,337.61,106.28,351.63
3775197,22.08,0.4767,15.36,359.91,261.46,83.00
3827110,26.23,0.2934,18.81,5.58,355.27,27.28
3827107,20.35,0.7660,1.62,357.78,64.46,29.81
3827109,21.91,0.5218,0.92,250.26,98.65,36.86
3827115,21.17,0.5139,10.10,349.29,89.56,9.47
3827117,26.89,0.8028,9.55,195.21,219.37,19.96
54128997,6.767,0.5593,13.97,21.16,26.88,177.74
54182369,14.21,0.9019,37.95,344.64,286.74,41.56
3732898,7.839,0.1489,27.40,40.37,340.11,149.81
3733257,23.65,0.6529,17.09,130.05,246.29,34.75
3734472,5.628,0.7402,29.44,139.28,234.33,354.72
3759989,20.15,0.2366,39.63,137.48,20.12,286.90
3827116,28.77,0.4606,36.50,227.01,160.12,28.07
3827119,28.54,0.5467,5.73,221.96,210.35,15.45
3736771,14.47,0.8516,159.21,332.71,252.99,54.65
3739243,12.73,0.6491,21.49,241.77,148.07,77.39
3739244,19.33,0.8294,118.30,257.90,147.73,37.67
3934196,6.109,0.4292,26.05,132.20,39.39,194.10
54171040,5.584,0.3163,15.46,188.31,355.05,216.23
54393991,11.17,0.4170,9.32,294.81,149.52,96.69
3743620,9.62,0.4814,13.35,102.69,62.06,94.47
54390762,6.299,0.7248,9.20,196.51,26.61,347.38
54350569,13.29,0.7655,7.82,126.05,347.14,66.80
54390940,5.564,0.6999,16.50,56.55,184.93,342.46
3744844,7.196,0.5380,167.05,133.40,1.58,356.41
54278671,8.05,0.5047,14.54,328.13,261.99,122.40
54479470,27.57,0.2465,11.75,196.68,294.75,11.62
3748502,21.44,0.5098,20.00,216.37,324.91,32.04
54285956,6.161,0.4045,8.19,274.73,192.32,235.56
54450891,13.97,0.1345,9.88,252.53,109.87,178.16
54475927,7.085,0.4903,11.50,146.59,103.22,343.92
54182475,10.77,0.8749,0.58,359.89,82.61,62.34
54182535,10.72,0.8314,10.48,183.28,293.44,60.20
3752086,21.58,0.3602,4.18,329.96,182.64,44.00
3752444,17.8,0.4307,29.39,37.37,84.92,74.18
54465255,24.05,0.2702,16.20,77.43,38.11,60.13
54465845,29,0.3597,12.69,100.57,48.40,29.05
54476980,25.38,0.1023,27.54,5.92,31.01,139.59
54463627,7.405,0.4432,3.72,29.70,226.07,346.77
3753111,12.97,0.6570,152.31,36.74,284.54,49.87
54508870,5.749,0.1775,6.06,353.90,263.31,331.28
3785118,7.057,0.6754,37.47,83.92,252.99,142.69
3753687,13.36,0.6062,114.33,117.71,141.50,71.36
54161190,28.85,0.3222,55.32,123.86,103.93,0.00
54161168,20.87,0.0473,44.30,116.70,80.17,33.62
54161184,13.14,0.0900,40.27,206.94,41.77,0.01
54161177,16.39,0.0745,32.64,74.89,166.49,360.00
54465258,27.63,0.1507,14.72,77.77,114.36,32.61
3934651,13.94,0.7590,21.90,334.70,345.19,56.33
54337442,7.747,0.6211,20.77,135.93,182.60,140.33
3785509,5.818,0.2807,14.52,299.95,87.85,174.90
3781379,21.16,0.3097,13.66,275.09,226.31,229.90
3760231,9.215,0.5513,92.24,323.37,5.69,105.46
3761427,7.406,0.5534,138.25,347.32,332.21,143.50
3841526,8.881,0.5890,9.73,55.24,44.77,95.15
54228607,6.733,0.7498,29.44,31.91,256.00,125.44
54182689,6.678,0.6931,2.53,54.42,261.16,110.56
54182903,7.418,0.8044,5.24,233.09,249.12,351.54
54182814,5.621,0.7332,10.67,211.26,86.47,17.25
54182695,5.915,0.6952,18.63,211.66,262.82,346.47
54183036,6.242,0.7288,1.45,158.78,159.78,11.10
54183018,5.683,0.7458,20.23,37.07,85.91,348.01
54182868,23.54,0.8162,11.21,221.45,221.38,357.11
54182869,24.43,0.9354,1.40,232.65,80.55,1.51
54182962,6.656,0.7757,7.96,210.66,278.70,348.51
3763322,8.058,0.1477,22.51,92.94,352.26,101.05
3764851,11.18,0.8506,148.53,286.66,289.97,70.21
3763976,14.35,0.8826,53.24,86.23,3.23,53.36
54431783,28.96,0.2787,13.37,245.95,149.49,99.87
54477124,6.241,0.2966,11.51,256.32,271.29,166.06
54183116,6.523,0.7777,13.91,336.56,187.55,90.96
3766461,28.47,0.8834,137.22,165.99,301.94,20.64
3766498,6.629,0.6941,23.75,274.07,201.13,164.00
3768020,6.444,0.6451,19.23,275.64,217.55,171.07
54466564,7.867,0.7671,2.94,94.77,11.67,5.94
54515951,5.607,0.1847,26.81,163.41,246.11,283.34
54445977,25.09,0.3009,4.29,79.34,65.06,21.56
54460863,5.633,0.1701,25.51,165.99,269.33,53.42
54429842,28.97,0.2491,29.54,165.67,177.09,174.51
54477470,6.318,0.2600,10.05,205.59,147.76,315.47
3772161,5.696,0.4060,20.35,351.89,210.18,187.00
3773119,8.148,0.6611,19.81,354.14,183.03,119.27
54463832,5.858,0.4670,16.28,229.21,290.44,7.40
54465024,7.276,0.3780,1.94,49.33,97.27,23.40
3774016,10.18,0.7427,6.57,347.22,202.28,84.37
3774569,26.16,0.6794,13.63,56.45,116.92,22.53
3774622,7.511,0.4811,5.49,117.90,75.44,134.52
3776420,14.59,0.6214,101.39,99.37,89.54,49.07
54361614,6.086,0.5696,31.56,164.83,239.24,157.77
54453246,6.146,0.3381,15.50,327.78,56.94,154.67
3779525,17.42,0.9251,71.61,317.08,68.77,35.09
3781244,25.37,0.7386,3.26,188.12,163.39,16.11
3937093,6.199,0.5967,23.15,187.58,185.80,160.95
54071664,5.77,0.4991,9.13,140.47,268.42,169.07
54360789,16.12,0.6971,24.05,161.39,175.93,39.41
3781418,11.65,0.7829,86.93,145.41,214.72,60.88
3781572,6.923,0.6322,20.51,32.49,304.63,141.17
3781717,9.802,0.5201,16.21,277.27,164.66,58.76
3781821,9.685,0.7912,113.26,11.64,343.40,85.64
54497177,29.88,0.5202,31.78,236.15,194.28,353.00
3789710,23.09,0.7496,5.97,127.50,272.72,22.75
3795011,8.895,0.7666,27.90,168.01,339.77,92.59
54050949,8.37,0.5782,52.88,132.62,349.91,100.90
3799652,12.83,0.8709,63.10,351.72,214.74,51.80
54006001,5.763,0.4817,12.39,106.95,52.87,167.36
3801931,13.29,0.6732,17.41,29.03,99.17,54.94
54183451,6.958,0.7604,13.62,42.24,90.77,73.22
54449576,6.049,0.2039,21.89,17.72,222.36,149.43
3825508,15.06,0.6668,51.47,138.39,75.15,35.73
54183481,8.953,0.8079,1.22,4.13,15.25,33.49
3830510,19.44,0.8608,74.18,350.83,275.24,30.52
3978831,5.837,0.5302,15.86,33.90,68.82,137.51
3831869,8.147,0.7884,170.92,45.50,78.46,356.46
3831901,7.681,0.5149,19.36,225.87,157.88,99.90
3836292,7.258,0.6927,152.31,147.91,111.82,108.44
54265368,5.583,0.3468,4.51,252.80,237.69,145.84
54016278,10.2,0.6708,11.10,335.54,240.61,46.10
54016610,11.02,0.5910,31.64,135.70,76.95,42.03
54351596,23.63,0.2764,27.02,276.81,76.31,110.30
54454814,18.3,0.2382,17.91,292.75,75.10,145.44
54442743,26.56,0.8520,1.15,46.09,302.06,221.98
3841498,17.16,0.8336,156.81,49.76,161.82,1.89
3841766,19.87,0.4266,9.14,26.96,259.74,340.60
3842004,5.51,0.1484,13.89,202.30,316.06,92.27
3842002,6.153,0.2909,1.25,214.56,354.88,354.32
54450440,19.89,0.4066,10.16,28.60,269.40,292.83
54491559,17.07,0.3182,25.71,174.69,139.85,287.32
54500793,7.322,0.2209,29.78,178.58,230.96,92.45
54515961,5.724,0.2008,10.63,189.51,32.90,129.17
54515962,5.721,0.1725,7.55,113.85,63.42,161.55
3841686,8.779,0.5562,134.28,12.15,99.47,82.65
3842933,11.64,0.7024,108.28,252.17,339.46,53.18
3842941,6.124,0.5263,5.21,234.17,56.87,118.43
54017443,12.28,0.7625,14.75,345.59,303.88,37.52
54055760,6.224,0.2490,27.58,234.55,73.88,90.99
54149580,10.95,0.5579,20.53,230.68,84.67,37.14
3843543,25.38,0.9208,113.03,214.89,221.90,14.05
54138025,5.564,0.1946,1.74,80.16,308.59,317.16
54347287,5.544,0.1157,9.06,326.55,63.36,307.81
54409992,6.019,0.2538,6.30,332.18,40.35,99.14
54439957,5.752,0.2735,6.34,321.36,45.68,336.96
54441164,5.72,0.2231,4.33,322.93,53.63,329.48
54461647,5.745,0.1718,6.38,331.19,25.92,341.75
54479980,5.884,0.2567,6.43,331.63,336.81,13.44
54515767,5.749,0.2703,3.38,151.38,250.98,87.44
54515784,5.517,0.1188,14.38,141.90,235.27,104.32
54515965,6.448,0.3572,4.81,341.22,50.04,81.78
3879172,9.782,0.4797,23.09,298.60,48.62,60.00
3983156,5.846,0.3700,32.43,182.25,191.64,128.15
3983487,6.693,0.6493,4.58,104.70,217.69,115.11
3983719,6.282,0.6021,34.46,32.82,338.26,119.27
3984236,5.735,0.6761,2.89,351.65,348.61,138.36
3986447,7.707,0.5763,18.93,141.99,300.67,72.16
54231244,17.55,0.0855,14.99,135.83,124.95,118.28
3905973,20.99,0.5183,10.78,135.31,200.13,26.64
3893207,10.83,0.4766,24.57,344.85,19.92,65.44
54499541,7.412,0.6757,22.19,189.90,226.56,89.87
3892300,10.06,0.5108,19.13,217.64,166.01,60.40
3892301,9.797,0.2361,32.83,244.64,144.27,58.81
54080836,6.694,0.7445,5.47,340.87,98.48,353.15
54430550,20.08,0.3037,5.03,225.78,241.81,281.82
54437429,6.915,0.5875,5.65,195.73,51.74,41.80
3893588,6.52,0.4973,27.34,129.72,326.75,94.90
54439383,5.789,0.1760,21.37,355.75,73.16,313.09
3986638,25.94,0.9356,149.05,119.28,302.71,0.64
3989394,10.69,0.4969,3.28,225.78,279.47,43.97
3989275,10.41,0.3511,7.00,246.72,245.44,44.89
54013557,7.769,0.4533,36.03,351.42,204.34,43.31
54117591,28.07,0.2790,21.12,96.55,357.83,33.78
54134859,12.01,0.6853,10.35,87.26,28.09,45.34
54145398,5.504,0.2633,18.61,82.93,113.16,109.36
3994617,6.073,0.4573,18.50,89.63,54.43,113.52
54016184,10.46,0.7641,76.40,38.78,126.76,49.49
54060606,16.78,0.8009,27.52,155.38,111.99,20.23
54017270,16.49,0.7068,147.26,290.15,104.36,22.34
54127923,7.283,0.5639,17.17,217.77,24.52,79.16
54463944,5.569,0.4037,44.68,31.60,305.13,280.63
54515790,5.657,0.3116,16.37,230.55,320.41,134.60
54017444,6.435,0.4728,8.50,64.69,176.98,97.78
54017281,12.95,0.8701,38.68,205.23,76.54,32.42
54017315,7.928,0.5017,106.14,72.97,194.40,57.30
54352820,16.83,0.3316,9.54,274.03,153.19,270.45
54049832,6.237,0.3768,166.60,329.83,18.51,85.18
54049833,6.973,0.6881,155.82,38.65,104.17,78.37
54051112,28.35,0.8941,79.43,314.15,6.31,9.53
54054769,14.05,0.7191,30.03,330.48,18.18,26.50
54487296,23.9,0.3942,30.43,245.67,64.31,20.97
54051065,19.44,0.4585,19.77,110.64,241.34,3.37
54051344,19.43,0.5556,9.35,306.08,18.31,20.14
54054406,20.06,0.6602,22.36,216.06,173.36,9.93
54073075,5.922,0.5103,4.97,213.97,163.06,86.39
54206759,15.46,0.6818,1.36,133.78,233.03,18.28
54212685,10.35,0.5604,10.41,264.58,119.37,35.18
54051424,19.29,0.8758,80.44,177.25,193.52,16.69
54094212,7.929,0.4990,20.28,164.92,193.18,65.90
54062090,22.93,0.7395,30.34,164.30,238.52,9.84
54054664,18.35,0.8569,77.35,12.70,55.85,17.35
54075531,8.987,0.4775,14.70,129.80,303.67,41.03
54094997,7.53,0.6247,21.79,218.79,180.45,66.39
54136612,17.52,0.8841,5.74,167.69,255.97,357.60
54075822,6.409,0.6401,46.64,217.13,217.77,358.75
54084707,20.61,0.8789,105.57,218.11,221.80,14.17
54101299,6.021,0.6231,26.89,52.80,19.51,94.57
54087544,24.73,0.6605,53.43,251.03,219.84,2.89
54088809,7.734,0.7733,161.22,60.23,22.80,359.92
54374345,6.439,0.3848,8.81,328.30,72.35,89.19
54099337,5.923,0.4017,6.99,70.14,336.88,109.59
54105552,23.53,0.9179,32.51,292.61,183.58,12.01
54105088,8.307,0.4260,31.66,66.39,5.21,344.98
54111257,7.276,0.4106,160.26,318.62,215.79,51.14
54123250,19.38,0.6009,14.20,319.94,179.56,19.37
54136644,7.246,0.7673,7.23,35.16,106.58,69.97
54127343,22,0.8192,10.83,187.85,337.60,12.37
54132962,10.71,0.7908,54.93,195.01,121.29,29.30
54142714,8.235,0.5799,11.22,65.23,179.55,39.05
54146037,5.629,0.4635,9.20,247.41,354.64,87.43
54146232,18.17,0.2654,17.42,101.95,110.92,27.96
54163463,5.896,0.6607,14.82,175.71,319.25,109.09
54243258,5.889,0.3749,22.35,129.40,97.26,91.80
54162242,25.64,0.8691,128.93,284.00,26.56,9.93
54337524,5.894,0.5113,16.78,102.94,224.12,76.75
54343143,29.57,0.8449,43.78,108.06,22.50,59.59
54170842,8.409,0.5882,63.77,342.74,18.45,36.04
54187283,7.068,0.4398,8.19,312.78,31.57,57.72
54177595,6.321,0.6157,71.32,145.95,202.52,66.37
54186216,15.55,0.1359,37.11,292.85,270.93,129.03
54328945,9.803,0.5768,23.05,126.27,253.33,31.71
54361659,7.213,0.6070,17.77,348.96,333.92,58.88
54205389,5.555,0.3900,4.62,277.30,112.37,73.30
54216353,9.405,0.6695,15.73,158.19,240.40,37.90
54221022,6.292,0.6624,17.60,133.81,217.67,77.35
54361661,7.172,0.7042,32.95,56.16,342.10,58.96
54205442,8.506,0.3654,17.59,312.32,102.23,24.06
54209489,13.38,0.5978,21.98,98.28,308.09,19.13
54219580,8.77,0.8329,36.82,220.20,271.99,35.20
54214035,5.557,0.6740,9.36,167.87,232.59,81.87
54219740,10.45,0.7334,16.49,348.30,1.63,37.56
54515971,6.072,0.3828,13.52,14.53,65.56,47.91
54219274,9.348,0.7891,23.25,204.68,188.99,38.11
54219994,14.21,0.7681,11.86,174.68,221.24,20.70
54222089,12.84,0.4882,17.11,167.00,270.42,10.88
54223974,5.75,0.1729,32.45,178.74,238.71,73.64
54515794,5.963,0.3367,7.76,79.00,284.92,98.69
54226399,5.756,0.7024,135.15,91.54,30.21,65.94
54228819,14.21,0.7813,172.09,350.61,331.47,13.48
54231713,6.151,0.6870,170.19,175.27,156.99,59.11
54237996,11.71,0.8062,122.41,80.87,326.32,1.58
54239781,13.49,0.8055,153.18,283.81,118.70,21.87
54442004,6.738,0.6973,16.06,109.53,89.14,43.75
54244536,7.111,0.3074,25.49,276.14,183.12,67.92
54248524,5.725,0.4274,5.81,177.38,347.06,64.58
54248040,10.52,0.7830,79.28,310.03,235.16,22.60
54279356,5.621,0.4890,12.24,87.35,82.89,65.36
54451085,26.55,0.8626,66.75,174.76,353.39,6.65
54255055,14.57,0.6945,8.82,48.89,150.76,12.43
54283266,6.931,0.7549,4.00,114.68,119.85,353.19
54278345,22.83,0.8092,102.41,171.03,142.47,1.87
54280220,18.32,0.5576,9.85,191.25,83.01,1.08
54447001,6.868,0.4474,32.72,118.43,223.18,352.49
54292831,29.36,0.7463,14.14,103.99,241.49,1.80
54293581,19.48,0.2364,22.13,257.61,65.58,357.01
54295350,30.01,0.5685,21.16,325.16,304.61,14.88
54299001,17.67,0.6620,10.83,262.11,106.10,5.94
54299495,5.984,0.4435,9.86,302.67,85.34,36.67
54300558,5.915,0.5421,40.65,175.73,177.08,59.13
54300298,21.23,0.4928,31.12,348.01,342.63,7.92
54307053,6.211,0.4111,9.88,152.75,189.24,52.49
54308661,7.595,0.4120,12.68,119.03,226.92,40.81
54315473,6.39,0.4586,17.36,323.57,5.21,52.82
54392074,13.69,0.6858,41.15,195.77,171.08,15.31
54399486,27.88,0.8450,26.72,2.70,0.85,3.87
54302655,10.54,0.5830,169.06,125.19,203.64,9.71
54316093,5.646,0.3742,56.00,351.94,81.85,20.16
54309250,12.63,0.1686,18.94,62.20,211.60,73.79
54333915,7.472,0.6905,40.94,340.82,142.85,14.39
54324993,9.833,0.7565,24.60,335.68,119.96,19.49
54375110,14.46,0.4021,17.75,350.99,39.91,356.82
54493574,5.645,0.1647,6.23,193.33,224.30,355.57
54493534,7.211,0.5723,3.11,139.01,232.81,8.60
54328410,8.536,0.6549,5.13,318.44,97.22,29.44
54336944,5.761,0.6545,1.28,76.69,55.30,37.21
54493712,5.868,0.3192,4.05,270.15,133.14,14.95
54341477,9.016,0.7886,172.75,77.67,349.72,22.49
54339961,5.876,0.1981,36.52,135.35,344.95,314.95
54340709,18.02,0.0090,11.91,308.42,302.22,104.29
54353453,6.484,0.3154,20.02,114.64,44.58,42.04
54353586,7.619,0.4955,18.98,82.49,90.59,28.39
54354718,6.374,0.4499,2.12,41.69,211.70,11.59
54357247,6.406,0.5815,54.63,140.66,160.82,18.08
54358897,12.37,0.6563,8.82,178.50,111.20,1.32
54358772,12.78,0.4099,15.64,142.26,202.99,314.85
54358908,6.599,0.5605,35.99,266.53,67.19,25.64
54362896,7.469,0.4323,18.80,245.52,335.88,24.93
54367462,23.62,0.8081,118.11,323.54,99.64,3.18
54442320,22.46,0.5058,30.91,159.89,79.55,3.95
54389200,29.34,0.8209,23.85,340.92,38.46,2.30
54374162,29.32,0.9047,15.18,134.78,189.48,1.10
54376674,6.225,0.5868,168.93,301.49,46.86,358.25
54376892,8.127,0.5963,132.85,70.08,195.99,8.85
54387898,5.583,0.2388,19.12,238.91,82.83,32.00
54389205,6.189,0.5152,16.24,315.72,51.70,19.41
54380873,5.715,0.6538,19.49,145.22,209.70,28.30
54385802,18.98,0.6659,21.20,331.21,78.39,354.61
54392065,20.91,0.9036,37.05,159.16,199.99,4.01
54426300,23.79,0.8462,29.41,348.26,354.42,3.67
54388334,10.19,0.5217,98.50,306.26,16.23,2.77
54392064,11.9,0.3274,19.94,347.01,119.31,323.87
54495811,7.896,0.5731,15.77,274.76,123.91,0.22
54505349,5.959,0.5438,36.92,3.01,42.69,7.46
54401662,5.997,0.5426,11.41,194.67,186.60,21.43
54402919,7.233,0.5003,14.54,268.32,181.16,350.32
54392424,8.818,0.8471,136.10,4.24,41.21,9.35
54397138,18.22,0.8514,152.91,176.02,209.88,3.16
54402006,18.45,0.7980,23.97,130.16,252.05,5.62
54402050,19.42,0.3806,36.50,87.60,247.08,28.39
54408198,21.94,0.4421,18.09,32.47,46.55,354.37
54417961,6.358,0.5253,42.32,78.41,14.04,8.85
54420272,5.583,0.6288,30.57,302.76,220.47,17.22
54412456,26.96,0.4614,15.75,22.40,52.37,352.16
54414466,6.93,0.6330,15.16,41.80,66.12,9.76
54422946,9.986,0.7267,37.31,248.98,188.87,10.30
54415291,6.154,0.2050,37.08,107.06,310.97,0.41
54416840,28.54,0.5150,18.47,5.95,88.60,355.17
54428296,6.809,0.7201,13.17,291.78,153.40,19.93
54425753,12.79,0.7064,15.87,157.84,359.35,2.85
54427173,27.31,0.7446,23.87,152.67,309.22,4.30
54438498,27.95,0.8831,129.63,160.05,17.33,0.45
54435947,7.379,0.4108,13.11,150.05,55.81,15.62
54439426,9.842,0.8614,8.19,0.66,223.83,5.02
54447016,7.409,0.2494,20.87,169.87,123.85,335.66
54445620,6.542,0.6606,87.86,67.21,208.54,3.47
54447951,17.57,0.6419,33.41,285.56,33.08,1.90
54448009,5.621,0.4960,36.56,190.78,208.73,332.03
54455368,7.586,0.2388,23.48,130.23,140.70,347.52
54465496,7.215,0.5391,24.84,185.37,88.95,0.69
54465214,29.65,0.5832,25.86,303.89,11.40,358.34
54468508,16.5,0.3248,8.50,38.36,349.65,332.15
54466379,9.11,0.7185,32.14,233.00,245.20,352.36
54468507,13.91,0.8780,20.48,312.79,4.34,1.96
54471689,5.67,0.4324,7.48,119.95,216.52,9.04
54469495,5.636,0.2149,11.08,155.56,151.56,44.77
54492710,10.44,0.4026,7.04,326.94,117.33,324.90
54508948,5.82,0.2456,22.69,281.72,77.03,352.15
54486542,17.8,0.8686,158.63,341.97,294.92,1.02
54490081,7.328,0.6938,11.05,344.77,74.83,355.44
54500837,5.614,0.3670,32.67,50.91,346.76,7.39
54490140,11.17,0.7782,118.63,190.27,168.81,358.72
54492893,6.087,0.3757,14.15,359.02,28.03,352.58
54512959,5.824,0.4421,24.74,83.28,3.12,354.78
54496185,25.89,0.8345,25.34,332.60,101.98,357.73
54499740,16.91,0.5248,34.08,33.07,98.18,332.36
54502796,8.233,0.4620,31.84,225.78,203.87,338.07
54499682,7.196,0.3205,5.40,351.20,103.95,333.77
54499741,24.5,0.9467,147.68,213.90,265.04,358.70
54514780,10.63,0.7628,36.19,108.30,345.35,359.26
54500947,23.34,0.6314,23.46,104.44,9.05,346.49
54500951,21.25,0.8347,153.32,248.50,192.50,0.74
54505724,20.48,0.5903,37.14,263.75,199.08,350.50
54506143,17.82,0.8839,109.35,239.09,243.06,357.78
54508709,5.854,0.2262,27.15,134.29,236.45,12.07
54514209,12.24,0.6446,28.91,342.65,140.27,355.38
54515074,8.353,0.2935,22.03,335.19,130.20,357.45
